system,protocol,fold,k,alpha,MAE_data,MAE_users,RMSE,RMSE_users,CR
FUS,A_warm,3,2,0.7,0.8334,0.8405,1.0989,1.0531,0.766
FUS,A_warm,3,4,0.7,0.8055,0.8103,1.0554,1.0157,0.8968
FUS,A_warm,3,6,0.7,0.7842,0.7867,1.0234,0.985,0.9389
FUS,A_warm,3,8,0.7,0.7724,0.7772,1.0065,0.9703,0.9592
FUS,A_warm,3,10,0.7,0.7653,0.7686,0.9954,0.9566,0.9714
FUS,A_warm,3,15,0.7,0.7499,0.7567,0.9718,0.9385,0.9844
FUS,A_warm,3,20,0.7,0.7445,0.7477,0.9618,0.926,0.9907
FUS,A_warm,3,30,0.7,0.7388,0.7433,0.9489,0.9156,0.9952
FUS,A_warm,3,50,0.7,0.7329,0.7398,0.9383,0.9087,0.9966
FUS,A_warm,3,1,0.8,0.8655,0.8869,1.1409,1.0935,0.5696
FUS,A_warm,3,2,0.8,0.8409,0.8478,1.0994,1.0549,0.7633
FUS,A_warm,3,4,0.8,0.8123,0.8199,1.057,1.0224,0.8948
FUS,A_warm,3,6,0.8,0.789,0.7942,1.0281,0.9924,0.9396
FUS,A_warm,3,8,0.8,0.777,0.7815,1.0084,0.9726,0.9617
FUS,A_warm,3,10,0.8,0.7674,0.7723,0.9944,0.9588,0.9729
FUS,A_warm,3,15,0.8,0.7502,0.755,0.9715,0.9372,0.9854
FUS,A_warm,3,20,0.8,0.7453,0.7515,0.9614,0.9306,0.9913
FUS,A_warm,3,30,0.8,0.742,0.7496,0.9521,0.9236,0.9951
FUS,A_warm,3,50,0.8,0.7337,0.7419,0.9384,0.9108,0.9962
FUS,A_warm,3,1,0.9,0.8685,0.8954,1.1411,1.0994,0.5657
FUS,A_warm,3,2,0.9,0.8455,0.8596,1.1068,1.0704,0.7602
FUS,A_warm,3,4,0.9,0.8149,0.8271,1.0592,1.0296,0.8888
FUS,A_warm,3,6,0.9,0.7884,0.7989,1.0288,0.9988,0.9372
FUS,A_warm,3,8,0.9,0.7747,0.7864,1.009,0.9804,0.9598
FUS,A_warm,3,10,0.9,0.7667,0.7788,0.9961,0.9687,0.9705
FUS,A_warm,3,15,0.9,0.7531,0.7641,0.975,0.9491,0.9828
FUS,A_warm,3,20,0.9,0.7489,0.7593,0.9657,0.9408,0.9877
FUS,A_warm,3,30,0.9,0.7427,0.7531,0.9534,0.9291,0.9919
FUS,A_warm,3,50,0.9,0.7331,0.7438,0.9375,0.9138,0.9935
FUS,A_warm,4,1,0.0,0.8462,0.868,1.1304,1.085,0.5975
FUS,A_warm,4,2,0.0,0.8286,0.8495,1.0992,1.0713,0.7842
FUS,A_warm,4,4,0.0,0.8024,0.8165,1.0454,1.0208,0.9104
FUS,A_warm,4,6,0.0,0.7801,0.7906,1.0154,0.9912,0.9489
FUS,A_warm,4,8,0.0,0.7681,0.7823,0.9977,0.9793,0.967
FUS,A_warm,4,10,0.0,0.7627,0.7777,0.9899,0.9727,0.9777
FUS,A_warm,4,15,0.0,0.7472,0.7601,0.9674,0.9445,0.9879
FUS,A_warm,4,20,0.0,0.7388,0.7514,0.9553,0.9337,0.9935
FUS,A_warm,4,30,0.0,0.7315,0.7455,0.9421,0.9223,0.9974
FUS,A_warm,4,50,0.0,0.7249,0.7374,0.9311,0.9102,0.9989
FUS,A_warm,4,1,0.7,0.8447,0.8633,1.1215,1.0677,0.5694
